"symbol
date","AAVE/USD
","AVAX/USD
","BTC/USD
","CRV/USD
","DOGE/USD
","DOT/USD
","ETH/USD
","GRT/USD
","LINK/USD
","LTC/USD
","MKR/USD
","PEPE/USD
","SOL/USD
","UNI/USD
","XRP/USD
"
2024-11-22,173.46,43.17,98892.0,0.4726,0.41277,6.63,3327.78,0.2373,16.57,92.2,1634.0,2.064e-05,256.9,9.934,1.4726
2024-11-23,174.45,41.44,97672.4,0.4949,0.43015,8.515,3393.91,0.2394,17.38,99.5,1659.0,2.049e-05,254.89,10.733,1.4685
2024-11-24,171.14,42.06,97900.04,0.5081,0.43023,8.825,3361.2,0.2598,17.91,96.92,1733.0,2.02e-05,252.73,10.899,1.4331
2024-11-25,181.45,41.31,93010.01,0.5178,0.39264,8.232,3414.49,0.2438,17.34,92.26,1824.0,1.897e-05,234.18,11.128,1.4142
2024-11-26,181.6,42.72,91965.16,0.482,0.38705,8.065,3324.73,0.2425,17.34,92.82,1739.0,1.828e-05,230.69,10.874,1.3984
2024-11-27,210.52,43.78,95863.11,0.5083,0.40093,8.456,3653.28,0.2568,18.66,97.23,1868.0,1.974e-05,241.96,13.53,1.4696
2024-11-28,200.19,42.77,95643.98,0.4958,0.4016,8.615,3578.79,0.2745,17.93,95.54,1821.0,1.985e-05,237.59,12.76,1.5421
2024-11-29,198.97,44.86,97460.0,0.5415,0.42636,9.026,3592.21,0.2866,18.24,104.77,1808.0,2.046e-05,243.33,12.573,1.8006
2024-11-30,211.77,44.81,96407.99,0.6813,0.4216,8.945,3703.6,0.2895,19.0,102.74,1859.0,2.02e-05,237.6,12.782,1.9513
2024-12-01,209.24,45.09,97185.18,0.6708,0.44045,9.289,3707.61,0.2886,18.92,119.55,1837.0,2.226e-05,236.8,13.06,2.2937
2024-12-02,235.39,52.27,95840.62,0.731,0.42457,10.011,3643.42,0.2981,25.23,132.93,1977.0,2.043e-05,225.72,14.007,2.7245
2024-12-03,240.4,50.9,95849.69,0.8773,0.40632,9.78,3614.51,0.318,24.09,130.89,2298.0,2.025e-05,233.92,15.119,2.5102
2024-12-04,256.43,52.76,98587.32,1.0917,0.43274,10.512,3837.8,0.3225,24.07,133.69,2272.0,2.179e-05,229.15,15.674,2.3574
2024-12-05,247.59,50.3,96945.63,1.0564,0.42682,10.369,3785.2,0.3265,23.15,135.78,2099.0,2.118e-05,235.84,15.025,2.2446
2024-12-06,281.75,52.47,99740.84,1.2484,0.43467,10.673,3998.87,0.3366,25.87,135.93,2209.0,2.155e-05,236.87,17.56,2.4257
2024-12-07,282.2,51.6,99831.99,1.1748,0.45281,10.592,3996.22,0.326,24.79,133.79,2166.0,2.489e-05,238.14,18.061,2.6099
2024-12-08,282.62,53.98,101109.59,1.2032,0.46635,10.392,4004.15,0.323,26.09,134.91,2195.0,2.642e-05,237.02,18.601,2.6013
2024-12-09,260.56,45.02,97276.47,1.0589,0.41403,8.468,3712.0,0.2655,22.25,110.44,1889.0,2.649e-05,216.63,16.025,2.2124
2024-12-10,276.49,44.6,96593.0,1.0705,0.39392,8.395,3628.25,0.2626,22.12,109.8,1769.0,2.348e-05,213.6,15.254,2.3709
2024-12-11,302.76,48.47,101125.0,1.133,0.41402,8.993,3831.81,0.2819,24.07,117.3,1879.0,2.512e-05,227.29,17.159,2.3941
2024-12-12,367.11,53.14,100004.29,1.1943,0.40611,9.061,3881.61,0.2852,29.13,119.24,2035.0,2.365e-05,226.96,17.715,2.3384
2024-12-13,377.7,52.78,101424.25,1.1386,0.40901,9.089,3906.8,0.2862,28.99,124.52,2112.0,2.475e-05,224.79,17.49,2.4217
2024-12-14,365.57,49.85,101420.0,1.1436,0.39828,8.551,3870.29,0.2726,29.12,118.21,1930.0,2.333e-05,219.93,16.75,2.4005
2024-12-15,368.48,50.76,104463.99,1.129,0.40659,9.028,3959.09,0.2873,29.26,121.11,2052.0,2.415e-05,224.27,17.073,2.4469
2024-12-16,379.32,48.98,106058.66,1.0719,0.40195,8.756,3986.24,0.275,28.73,117.99,1897.0,2.345e-05,216.19,16.233,2.4841
2024-12-17,361.3,47.92,106133.74,1.1035,0.39415,8.487,3893.01,0.26,27.86,125.63,1773.0,2.244e-05,223.15,16.242,2.5673
2024-12-18,339.73,42.78,100204.01,0.9527,0.35824,7.679,3626.8,0.234,24.86,108.35,1671.0,1.943e-05,206.53,14.807,2.3103
2024-12-19,314.98,38.83,97461.86,0.8408,0.31431,6.941,3417.01,0.2107,22.81,99.36,1637.0,1.705e-05,193.81,12.726,2.239
2024-12-20,329.4,39.86,97805.44,0.8343,0.31793,7.29,3472.21,0.218,23.39,101.38,1697.0,1.767e-05,194.48,13.677,2.2793
2024-12-21,299.13,37.42,97291.99,0.7912,0.32042,6.973,3338.92,0.2049,22.13,101.56,1622.0,1.741e-05,181.45,13.384,2.238
2024-12-22,318.97,36.57,95186.27,0.8197,0.31262,6.842,3281.83,0.2057,22.08,99.78,1584.0,1.785e-05,180.52,13.9,2.2031
2024-12-23,383.53,39.11,94881.47,0.9533,0.32497,7.385,3422.53,0.2235,24.55,106.77,1626.0,1.848e-05,190.11,14.291,2.2617
2024-12-24,375.14,41.25,98663.58,1.0142,0.3371,7.552,3493.18,0.2298,25.42,108.35,1642.0,1.926e-05,197.09,14.592,2.3238
2024-12-25,369.99,40.25,99429.6,1.0236,0.33433,7.502,3497.0,0.2233,24.44,109.82,1604.0,1.854e-05,197.44,13.911,2.2973
2024-12-26,337.74,37.33,95791.6,0.9495,0.31274,6.932,3335.05,0.2077,22.68,102.23,1531.0,1.739e-05,188.46,13.266,2.1559
2024-12-27,324.01,36.56,94299.03,0.9011,0.31186,6.91,3333.51,0.2073,21.57,100.58,1576.0,1.788e-05,184.22,13.353,2.1466
2024-12-28,354.4,37.74,95300.0,1.0202,0.32439,7.113,3404.0,0.2158,21.99,100.74,1550.0,1.876e-05,195.5,13.575,2.1843
2024-12-29,332.74,35.84,93738.2,0.9487,0.31435,6.865,3356.48,0.207,20.96,98.51,1507.0,1.789e-05,189.94,13.006,2.0942
2024-12-30,322.06,35.97,92792.05,0.931,0.31396,6.704,3361.84,0.204,20.58,99.4,1500.0,1.846e-05,191.38,13.325,2.0587
2024-12-31,308.82,35.71,93576.0,0.8942,0.316,6.643,3337.78,0.1997,20.01,103.28,1492.0,1.996e-05,189.31,13.243,2.0836
2025-01-01,319.84,37.78,94591.79,0.958,0.32513,7.051,3360.38,0.2084,21.73,105.24,1511.0,1.938e-05,194.28,13.629,2.3328
2025-01-02,333.5,39.28,96984.79,1.0093,0.33893,7.177,3455.67,0.2197,22.07,105.14,1549.0,2.048e-05,208.31,14.381,2.4024
2025-01-03,350.8,41.94,98174.18,1.085,0.37989,7.754,3609.01,0.2418,23.48,112.71,1601.0,2.159e-05,217.99,15.213,2.4547
2025-01-04,351.6,42.63,98220.5,1.0473,0.39483,7.677,3656.88,0.2404,23.6,111.21,1590.0,2.112e-05,216.67,15.277,2.4201
2025-01-05,341.7,43.11,98363.61,1.0269,0.3823,7.671,3635.99,0.2429,23.58,115.72,1575.0,2.072e-05,213.41,15.159,2.3994
2025-01-06,341.5,44.05,102235.6,0.9972,0.38782,7.768,3687.45,0.248,23.83,114.01,1632.0,2.078e-05,218.22,15.077,2.42
2025-01-07,306.88,39.21,96954.61,0.892,0.348,7.014,3381.31,0.2207,21.38,102.72,1492.0,1.859e-05,202.17,13.531,2.2712
2025-01-08,293.31,37.43,95060.61,0.8585,0.3423,6.76,3327.29,0.2116,20.44,101.43,1482.0,1.782e-05,197.48,13.118,2.3731
2025-01-09,281.13,36.2,92552.49,0.8086,0.321,6.559,3219.2,0.2033,19.65,102.23,1463.0,1.701e-05,184.95,12.867,2.2722
2025-01-10,285.8,36.67,94726.11,0.8262,0.33388,6.732,3267.04,0.2058,20.24,103.96,1474.0,1.764e-05,187.68,13.941,2.3414
2025-01-11,287.2,37.13,94599.99,0.8472,0.3412,6.742,3282.83,0.2059,20.21,104.39,1441.0,1.802e-05,188.09,13.645,2.5764
2025-01-12,287.92,36.56,94545.06,0.8197,0.33591,6.632,3267.3,0.2016,19.84,102.34,1425.0,1.775e-05,188.51,13.631,2.5046
2025-01-13,289.57,35.29,94536.1,0.8117,0.33807,6.396,3137.51,0.193,19.35,98.37,1347.0,1.686e-05,182.87,12.893,2.5232
2025-01-14,295.52,36.57,96560.86,0.8648,0.35591,6.665,3225.63,0.2039,20.32,102.45,1378.0,1.746e-05,187.57,13.314,2.6673
2025-01-15,319.92,39.82,100497.35,0.9613,0.38537,7.165,3451.52,0.2161,22.1,116.96,1430.0,1.907e-05,205.86,14.542,3.1429
2025-01-16,311.23,40.06,99987.3,0.9318,0.37649,7.15,3308.05,0.2126,23.03,124.41,1421.0,1.812e-05,211.14,14.097,3.2451
2025-01-17,335.19,41.38,104077.48,1.0432,0.41525,7.503,3473.63,0.2349,25.09,137.04,1462.0,2.03e-05,219.51,14.98,3.2922
2025-01-18,315.57,39.25,104556.23,0.9187,0.39641,7.043,3307.71,0.2185,24.12,125.4,1380.0,1.845e-05,261.97,14.171,3.2697
2025-01-19,309.41,35.68,101331.57,0.8153,0.3584,6.247,3215.12,0.1973,24.34,115.57,1279.0,1.604e-05,252.42,13.287,2.9587
2025-01-20,337.53,36.03,102260.01,0.8523,0.35456,6.381,3284.0,0.2024,25.09,118.58,1294.0,1.58e-05,242.19,13.524,3.1053
2025-01-21,370.8,36.95,106143.82,0.8572,0.37177,6.622,3327.54,0.2097,26.67,119.11,1301.0,1.59e-05,250.33,13.507,3.1738
2025-01-22,346.65,36.8,103706.66,0.7877,0.36291,6.447,3242.6,0.1952,25.3,115.38,1249.0,1.515e-05,257.36,12.89,3.1803
2025-01-23,337.41,35.56,103910.34,0.7934,0.35206,6.351,3338.21,0.1893,25.65,116.42,1273.0,1.532e-05,253.11,12.81,3.1194
2025-01-24,334.97,35.34,104870.5,0.7952,0.35085,6.32,3310.09,0.1831,25.18,118.71,1257.0,1.494e-05,253.37,12.464,3.1009
2025-01-25,326.42,36.61,104746.85,0.797,0.35352,6.323,3318.77,0.1822,24.93,123.92,1231.0,1.504e-05,256.41,12.093,3.108
2025-01-26,316.56,35.75,102620.0,0.7676,0.33605,6.177,3232.61,0.1808,24.88,117.11,1197.0,1.402e-05,240.5,11.432,3.0223
2025-01-27,305.07,34.2,102082.83,0.7402,0.33397,5.953,3182.44,0.1775,24.21,115.06,1206.0,1.311e-05,234.89,11.006,3.0552
2025-01-28,284.16,32.08,101335.52,0.6761,0.31871,5.649,3077.72,0.1647,22.61,109.92,1129.0,1.145e-05,227.06,11.142,3.0572
2025-01-29,290.99,32.8,103733.24,0.7003,0.32404,5.768,3113.9,0.1695,23.66,115.9,1100.0,1.239e-05,228.16,11.733,3.0683
2025-01-30,315.44,34.29,104722.94,0.7853,0.33153,6.125,3247.39,0.1817,24.46,130.15,1074.0,1.293e-05,238.31,11.967,3.1276
2025-01-31,332.71,34.42,102429.56,0.7814,0.3289,6.321,3300.99,0.1802,25.17,128.09,1151.0,1.386e-05,231.77,11.774,3.0361
2025-02-01,296.06,32.11,100635.65,0.6863,0.30792,5.905,3117.54,0.1662,22.98,118.04,1081.0,1.224e-05,213.03,10.861,2.8778
2025-02-02,258.44,27.63,97700.59,0.5554,0.26808,5.153,2869.68,0.1445,20.46,109.12,1023.0,1.078e-05,203.51,9.184,2.58
2025-02-03,276.45,28.39,101328.52,0.5772,0.28485,5.176,2879.9,0.1488,21.64,106.91,991.0,1.1e-05,216.28,9.956,2.7001
2025-02-04,272.3,26.46,97763.13,0.524,0.26345,4.742,2731.19,0.1396,19.97,101.07,914.0,1.015e-05,206.64,9.069,2.5274
2025-02-05,259.71,25.84,96612.43,0.5132,0.25619,4.689,2788.25,0.1348,19.19,103.38,917.0,1.001e-05,196.12,9.274,2.381
2025-02-06,241.48,24.5,96554.35,0.4705,0.24789,4.49,2686.64,0.1286,18.58,101.66,901.0,9.22e-06,189.54,8.984,2.325
2025-02-07,238.05,24.46,96506.8,0.4773,0.24651,4.593,2622.1,0.128,18.39,103.11,930.0,8.93e-06,191.99,9.01,2.3968
2025-02-08,238.84,24.58,96444.74,0.5107,0.25288,4.745,2632.46,0.1302,18.45,104.69,934.0,9.57e-06,199.32,9.139,2.419
2025-02-09,241.25,24.87,96462.75,0.5261,0.2489,4.762,2627.18,0.1324,18.26,107.2,904.0,9.54e-06,200.47,9.13,2.3928
2025-02-10,252.61,25.67,97430.82,0.5334,0.25542,4.845,2661.19,0.1397,18.81,120.21,978.0,9.59e-06,200.47,9.458,2.4237
2025-02-11,243.75,25.39,95778.2,0.5322,0.25305,4.809,2602.59,0.138,18.66,119.27,953.0,9.59e-06,197.96,9.381,2.4131
2025-02-12,252.81,26.49,97869.99,0.556,0.26418,5.227,2738.27,0.1454,19.2,122.04,1015.0,1.009e-05,196.78,9.951,2.4734
2025-02-13,256.42,25.39,96608.14,0.5296,0.26245,5.131,2675.87,0.1402,18.56,126.61,989.0,9.68e-06,194.25,9.889,2.5599
2025-02-14,262.61,26.39,97500.48,0.5279,0.2718,5.17,2725.95,0.1428,19.38,124.91,1002.0,1.03e-05,199.39,10.056,2.7384
2025-02-15,253.38,25.48,97569.66,0.5114,0.27174,5.022,2693.04,0.1384,18.99,133.86,1004.0,9.94e-06,194.48,9.811,2.7619
2025-02-16,253.95,24.85,96118.12,0.5099,0.26555,4.88,2661.41,0.1381,18.69,125.71,991.0,9.7e-06,188.27,9.585,2.7283
2025-02-17,264.57,25.03,95780.0,0.5169,0.25819,4.89,2744.05,0.142,19.12,122.31,1047.0,1.012e-05,177.53,9.947,2.6599
2025-02-18,249.6,23.52,95671.74,0.496,0.25137,4.769,2671.99,0.1329,17.88,129.75,1119.0,9.26e-06,169.32,9.632,2.5628
2025-02-19,252.98,23.74,96644.37,0.5156,0.2548,4.886,2715.5,0.1337,17.98,134.88,1174.0,9.36e-06,168.93,9.434,2.7378
2025-02-20,261.28,25.15,98305.0,0.5322,0.25474,5.047,2738.04,0.139,18.28,130.82,1427.0,9.62e-06,176.0,9.341,2.6877
2025-02-21,242.92,24.54,96181.98,0.4984,0.23966,5.061,2663.0,0.1339,17.43,128.1,1458.0,9.13e-06,168.94,8.743,2.5721
2025-02-22,247.14,25.83,96551.01,0.5041,0.24656,5.043,2763.22,0.1387,17.76,125.9,1513.0,9.63e-06,172.07,9.039,2.574
2025-02-23,247.7,24.85,96258.0,0.5091,0.24285,4.953,2819.69,0.1372,17.62,129.85,1522.0,9.35e-06,167.94,9.019,2.5763
2025-02-24,210.78,21.88,91552.88,0.4353,0.21043,4.416,2513.52,0.1212,15.26,114.77,1414.0,7.89e-06,141.81,7.975,2.2783
2025-02-25,205.13,21.94,88680.4,0.455,0.21158,4.64,2495.7,0.1212,15.31,114.55,1654.0,8.25e-06,144.33,8.312,2.3222
2025-02-26,202.55,21.87,84250.09,0.4624,0.20355,4.754,2336.37,0.1201,15.26,124.68,1626.0,8.33e-06,135.32,7.908,2.1982
2025-02-27,203.97,22.52,84708.58,0.4538,0.20687,4.934,2307.72,0.1231,15.1,126.86,1734.0,8.21e-06,137.68,7.868,2.1985
2025-02-28,192.25,22.37,84349.94,0.4501,0.20184,4.712,2237.59,0.1205,14.81,128.04,1586.0,7.92e-06,148.18,7.497,2.1453
2025-03-01,194.99,21.86,86064.53,0.436,0.20673,4.664,2217.39,0.1192,14.75,124.31,1647.0,7.59e-06,143.66,7.5,2.1916
2025-03-02,223.52,24.95,94270.0,0.5007,0.23931,5.205,2518.11,0.129,17.42,127.89,1554.0,8.83e-06,178.71,8.268,2.9396
2025-03-03,180.91,20.95,86220.61,0.4135,0.19913,4.473,2149.01,0.1091,14.46,109.89,1447.0,7.23e-06,142.16,7.126,2.3873
2025-03-04,206.7,20.0,87281.98,0.4182,0.19905,4.33,2171.51,0.1065,14.86,103.66,1368.0,6.99e-06,144.79,7.07,2.4543
2025-03-05,220.89,21.73,90606.01,0.437,0.20471,4.526,2241.59,0.1101,16.43,104.73,1372.0,7.08e-06,146.28,7.52,2.4998
2025-03-06,208.46,20.99,89931.89,0.4197,0.20153,4.431,2202.2,0.1074,17.06,103.39,1272.0,6.83e-06,143.31,7.103,2.6001
2025-03-07,196.64,20.14,86801.75,0.4286,0.19844,4.413,2141.6,0.103,15.94,103.71,1296.0,6.98e-06,139.39,7.07,2.3855
2025-03-08,195.74,20.49,86222.45,0.4271,0.19234,4.289,2203.58,0.1013,15.26,102.34,1362.0,6.67e-06,137.01,7.165,2.3261
2025-03-09,178.6,17.97,80734.37,0.3768,0.16809,4.019,2020.41,0.091,13.81,94.62,1192.0,5.87e-06,126.51,6.397,2.1387
2025-03-10,180.36,16.26,78595.86,0.366,0.15408,3.868,1865.1,0.0846,12.65,87.48,1114.0,5.7e-06,118.32,5.906,2.0216
2025-03-11,182.08,17.51,82932.99,0.4013,0.16454,4.042,1923.43,0.0903,13.13,90.46,1135.0,6.33e-06,125.35,6.096,2.1711
2025-03-12,174.83,18.91,83680.12,0.4063,0.17244,3.968,1908.2,0.0923,13.49,91.51,1130.0,6.96e-06,126.62,5.912,2.2396
2025-03-13,162.81,18.5,81115.78,0.3941,0.16523,3.981,1864.59,0.0891,13.04,88.08,1134.0,6.69e-06,123.37,5.89,2.2527
2025-03-14,173.13,18.58,83983.2,0.4098,0.17194,4.187,1911.65,0.0943,13.66,91.31,1170.0,7.06e-06,133.54,6.026,2.3564
2025-03-15,173.01,19.4,84338.44,0.4194,0.17594,4.349,1937.17,0.0958,14.01,92.47,1214.0,7.14e-06,135.86,6.271,2.3911
2025-03-16,164.72,18.25,82574.53,0.4114,0.16817,4.298,1887.0,0.0914,13.37,90.22,1178.0,6.58e-06,126.13,6.139,2.2938
2025-03-17,174.71,18.82,84010.03,0.433,0.17332,4.37,1926.31,0.0962,14.03,92.3,1207.0,7.39e-06,128.01,6.297,2.3382
2025-03-18,170.08,18.97,82715.03,0.4501,0.16802,4.45,1931.54,0.0955,13.91,90.03,1277.0,7.28e-06,125.33,6.374,2.2851
2025-03-19,182.49,19.74,86845.94,0.468,0.17799,4.538,2056.06,0.0993,15.03,94.09,1291.0,7.46e-06,135.33,6.984,2.5469
2025-03-20,178.77,18.74,84223.39,0.4404,0.16949,4.399,1983.79,0.0956,14.22,93.29,1265.0,7.65e-06,127.6,6.912,2.4361
2025-03-21,178.26,19.18,84088.79,0.4396,0.16727,4.499,1965.75,0.0939,13.97,90.84,1229.0,7.2e-06,128.48,6.781,2.3809
2025-03-22,179.77,19.43,83840.59,0.4915,0.16737,4.446,1980.69,0.0955,14.25,91.37,1237.0,7.07e-06,128.51,6.737,2.3711
2025-03-23,185.05,19.82,86082.5,0.5031,0.1726,4.502,2005.99,0.0966,14.47,91.48,1228.0,7.35e-06,132.84,6.688,2.4393
2025-03-24,190.77,21.48,87498.16,0.5092,0.183,4.62,2081.2,0.1022,15.13,93.77,1275.0,7.99e-06,141.01,7.088,2.4501
2025-03-25,186.67,22.9,87392.87,0.5016,0.19062,4.637,2066.15,0.1046,15.44,94.36,1294.0,8.01e-06,143.64,6.967,2.4492
2025-03-26,177.43,22.04,86909.17,0.5491,0.1949,4.694,2009.52,0.104,15.24,92.42,1375.0,8.52e-06,137.34,6.721,2.3494
2025-03-27,184.72,22.02,87232.01,0.5799,0.19046,4.625,2003.66,0.1044,15.52,92.79,1444.0,8.44e-06,138.43,6.725,2.341
2025-03-28,175.83,20.36,84424.38,0.5035,0.18024,4.282,1896.9,0.095,14.25,87.35,1451.0,7.79e-06,129.49,6.174,2.2073
2025-03-29,168.15,19.6,82648.54,0.4892,0.16957,4.05,1828.08,0.0886,13.55,85.46,1295.0,7.22e-06,124.58,5.96,2.1351
2025-03-30,163.67,18.86,82389.99,0.4684,0.16652,4.042,1807.74,0.0891,13.41,86.1,1284.0,6.94e-06,124.82,5.871,2.1369
2025-03-31,159.59,18.77,82550.01,0.5025,0.16666,4.02,1822.43,0.0879,13.51,82.97,1296.0,7.2e-06,124.54,5.971,2.0899
2025-04-01,166.04,19.82,85158.34,0.539,0.17398,4.171,1904.98,0.0898,14.04,84.48,1387.0,7.72e-06,126.67,6.265,2.1387
2025-04-02,150.29,17.99,82516.29,0.4909,0.16383,3.965,1795.22,0.0828,12.9,81.54,1283.0,7.05e-06,117.42,5.836,2.0237
2025-04-03,151.13,18.15,83213.09,0.5207,0.16231,4.059,1817.23,0.083,12.9,83.45,1307.0,6.71e-06,117.17,5.869,2.0648
2025-04-04,152.02,18.19,83889.87,0.5009,0.17128,4.035,1816.87,0.0831,12.94,84.41,1334.0,7.24e-06,122.79,5.909,2.1302
2025-04-05,152.53,17.87,83537.99,0.4955,0.16898,3.956,1806.01,0.0819,12.85,82.67,1351.0,7.06e-06,120.32,5.866,2.1442
2025-04-06,129.0,16.04,78430.0,0.4214,0.14927,3.683,1580.76,0.0732,11.28,70.62,1147.0,6.34e-06,105.91,5.101,1.9218
2025-04-07,132.03,16.68,79163.24,0.4594,0.14958,3.593,1553.04,0.0748,11.45,70.99,1233.0,6.45e-06,106.99,5.121,1.8987
2025-04-08,125.3,16.15,76322.42,0.4539,0.14225,3.378,1473.41,0.0718,10.93,69.15,1227.0,6.05e-06,105.4,4.776,1.7963
2025-04-09,143.15,18.44,82615.22,0.5215,0.16031,3.643,1669.51,0.0802,12.65,76.03,1399.0,6.97e-06,119.05,5.414,2.0529
2025-04-10,131.95,18.31,79607.3,0.5594,0.15357,3.463,1522.25,0.0762,12.08,73.81,1290.0,6.71e-06,112.81,5.023,1.9658
2025-04-11,136.49,19.12,83423.84,0.6066,0.16004,3.557,1566.85,0.0793,12.64,76.19,1332.0,6.94e-06,121.41,5.235,2.0225
2025-04-12,148.1,20.49,85276.9,0.6241,0.16763,3.713,1644.18,0.0823,13.15,78.62,1400.0,7.44e-06,132.24,5.502,2.1598
2025-04-13,139.18,19.59,83760.0,0.5999,0.1626,3.668,1597.76,0.0787,12.62,77.85,1356.0,7.27e-06,128.38,5.332,2.1196
2025-04-14,137.65,20.11,84591.58,0.5871,0.15854,3.677,1623.77,0.0782,12.63,77.18,1384.0,7.34e-06,129.42,5.347,2.1275
2025-04-15,134.23,19.01,83643.99,0.584,0.15356,3.519,1588.78,0.0775,12.24,75.27,1357.0,7e-06,126.11,5.185,2.0842
2025-04-16,133.98,18.76,84030.38,0.6309,0.15471,3.557,1577.14,0.0763,12.35,74.33,1336.0,7.13e-06,131.33,5.151,2.0834
2025-04-17,138.94,19.05,84947.91,0.6017,0.15588,3.634,1583.62,0.0757,12.54,74.95,1349.0,7.24e-06,134.83,5.181,2.0673
2025-04-18,138.42,19.07,84474.69,0.5961,0.15759,3.675,1588.6,0.0779,12.56,76.0,1353.0,7.34e-06,134.04,5.174,2.0619
2025-04-19,141.99,19.89,85077.01,0.6125,0.15735,3.88,1613.27,0.082,12.94,76.1,1378.0,7.5e-06,139.87,5.317,2.0877
2025-04-20,140.94,19.51,85179.24,0.6,0.15526,3.878,1587.36,0.0833,13.28,77.79,1355.0,7.54e-06,137.86,5.252,2.0787
2025-04-21,142.86,19.92,87516.23,0.5891,0.15939,3.78,1579.57,0.0829,13.11,78.15,1349.0,7.74e-06,136.56,5.274,2.0855
2025-04-22,158.2,22.11,93442.99,0.6872,0.17863,4.007,1756.26,0.0895,14.13,83.49,1448.0,8.81e-06,148.79,5.81,2.2139
2025-04-23,168.14,22.33,93691.08,0.6542,0.17864,4.093,1795.07,0.0906,15.02,83.28,1485.0,8.83e-06,151.1,6.033,2.2184
2025-04-24,167.92,22.37,93980.47,0.6803,0.18254,4.269,1769.65,0.0951,15.06,84.29,1510.0,8.76e-06,152.55,5.811,2.2049
2025-04-25,166.46,22.17,94638.68,0.6756,0.18159,4.254,1784.6,0.1007,14.92,86.28,1486.0,9.05e-06,150.82,5.828,2.1812
2025-04-26,172.91,22.42,94628.0,0.6696,0.18192,4.263,1820.88,0.1036,14.86,87.06,1527.0,9.18e-06,149.21,5.813,2.1912
2025-04-27,166.62,21.71,93749.3,0.6544,0.17933,4.09,1791.29,0.098,14.56,85.39,1476.0,8.76e-06,147.98,5.5,2.252
2025-04-28,166.25,21.84,95011.18,0.6473,0.17907,4.242,1799.88,0.099,15.03,85.67,1532.0,8.96e-06,147.84,5.436,2.2949
2025-04-29,165.63,21.57,94256.82,0.6467,0.17466,4.147,1797.81,0.097,14.6,85.57,1530.0,8.87e-06,146.31,5.271,2.238
2025-04-30,164.19,20.92,94172.0,0.7131,0.17224,4.065,1793.61,0.0961,14.3,83.51,1477.0,8.89e-06,147.54,5.269,2.1908
2025-05-01,172.99,21.64,96489.91,0.7081,0.18065,4.177,1838.11,0.1006,14.74,88.85,1521.0,8.73e-06,150.85,5.317,2.2123
2025-05-02,174.59,21.25,96887.14,0.7338,0.18151,4.161,1842.2,0.0982,14.65,87.97,1571.0,8.7e-06,148.05,5.248,2.2093
2025-05-03,178.06,20.52,95856.42,0.7022,0.17564,4.028,1833.52,0.0933,14.24,86.55,1504.0,8.17e-06,146.71,5.089,2.1872
2025-05-04,171.11,19.91,94277.62,0.6896,0.17049,3.92,1808.86,0.0899,13.86,85.05,1527.0,8.09e-06,143.95,4.985,2.156
